skill	state	lines	clasificacion	justificacion
adversarial-security	Incomplete	87	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
agent-code-map	Incomplete	150	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
agent-file-map	Incomplete	122	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
agent-messaging	Incomplete	77	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
agent-runs-board	Stub	130	DELETE	stub sin cuerpo ni DOMAIN: candidata a eliminación (propuesta, requiere revisión)
ai-labor-impact	Incomplete	82	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
android-autonomous-debugger	Incomplete	148	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
architecture-intelligence	Incomplete	123	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
ast-comprehension	Incomplete	143	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
ast-quality-gate	Incomplete	139	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
attack-surface-mapper	Incomplete	93	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
automation-scheduler	Incomplete	65	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
azure-devops-queries	Incomplete	134	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
azure-pipelines	Incomplete	125	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
backlog-git-tracker	Incomplete	107	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
banking-architecture	Incomplete	71	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
bus-factor-analysis	Incomplete	100	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
capacity-planning	Incomplete	127	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
caveman	Incomplete	62	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
client-profile-manager	Incomplete	140	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
codebase-map	Incomplete	74	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
code-comprehension-report	Incomplete	143	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
codegraph	Incomplete	129	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
code-improvement-loop	Incomplete	150	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
company-messaging	Incomplete	147	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
consensus-validation	Incomplete	146	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
content-fingerprint	Incomplete	67	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
